id,county,state,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
0500000US01003,Baldwin,Alabama,82325,4.9,3.9,9.4,10.4,16.5,14.1,13.3,16,4.9,6.6,56439,81449,25010,Low
0500000US01015,Calhoun,Alabama,44636,9.6,7.3,8.4,13.1,12.8,18.7,12.2,12.9,2.8,2.2,48156,61137,12981,Very Low
0500000US01043,Cullman,Alabama,32090,4.4,5.4,11,13.2,14.9,22,15.3,8.6,2.9,2.4,50906,61920,11014,Very Low
0500000US01049,DeKalb,Alabama,24880,7.2,8.4,15.6,7.6,16.9,18.9,10.7,11,3,0.7,44208,56777,12569,Very Low
0500000US01051,Elmore,Alabama,30712,2.9,1.9,13.2,10.8,10.3,21,11.4,16.3,6.4,5.8,61854,82576,20722,Middle
0500000US01055,Etowah,Alabama,40053,9.9,6.3,15.9,11.8,13.4,17.5,9.7,10.3,3,2.3,41447,59944,18497,Very Low
0500000US01069,Houston,Alabama,39761,9.2,6,11.2,11.2,12.4,18.9,10.2,11.6,5.2,4.3,50103,69495,19392,Very Low
0500000US01073,Jefferson,Alabama,264753,9.7,5,8.9,10.4,12.6,17,9.8,14.1,5.9,6.6,53944,79833,25889,Very Low
0500000US01077,Lauderdale,Alabama,38761,9.3,7,10.8,10.2,15.2,16.6,13.3,12.5,2.3,2.8,46632,62091,15459,Very Low
0500000US01081,Lee,Alabama,64448,11.2,6.3,11.7,6.3,12.2,17.9,9.8,13,5.7,5.8,53712,78000,24288,Very Low
0500000US01083,Limestone,Alabama,32020,3.7,5.9,8.4,12.2,10.1,16.8,11.8,18.9,6.7,5.5,63695,83580,19885,Middle
0500000US01089,Madison,Alabama,155878,5.2,4.4,8.9,8.8,11.7,14.5,12.4,17.5,9.2,7.3,67930,88904,20974,High
0500000US01095,Marshall,Alabama,35330,8,4.6,12.6,8.1,16.9,21.2,12,9.8,3.6,3.2,49467,63823,14356,Very Low
0500000US01097,Mobile,Alabama,155946,9,5.8,11.2,10.2,14.2,20.3,10.5,11.3,4.3,3.2,49639,64556,14917,Very Low
0500000US01101,Montgomery,Alabama,88864,8.1,3.6,9.2,10.1,15.7,20.2,11.1,13.3,4.5,4.3,53117,72113,18996,Very Low
0500000US01103,Morgan,Alabama,46470,6.8,5.3,9.4,11,12.8,19.6,12.1,13.9,4.9,4.2,54338,73817,19479,Very Low
0500000US01115,St. Clair,Alabama,32829,3.9,2.9,7.8,8.7,12.6,20.2,13.8,22.3,4,3.9,67487,78406,10919,High
0500000US01117,Shelby,Alabama,84048,3.9,2.8,7.4,6.8,10.8,17.9,13.4,19.7,8,9.2,75614,101601,25987,Very High
0500000US01121,Talladega,Alabama,30602,9.7,6.8,13.5,12.2,7.7,16.4,13.5,14.3,3.6,2.4,50147,62758,12611,Very Low
0500000US01125,Tuscaloosa,Alabama,74259,9,5,10.6,11,12.6,17.6,8.4,15.1,5.5,5.3,52243,73432,21189,Very Low
0500000US01127,Walker,Alabama,25153,7.4,5.3,14.4,10.9,15,16.3,12,13.7,3.3,1.9,46283,60865,14582,Very Low
0500000US02020,Anchorage Municipality,Alaska,105198,3.8,2.7,4.6,6.6,10.1,17.6,13.1,20.4,10.8,10.2,82716,109042,26326,Very High
0500000US02090,Fairbanks North Star,Alaska,35556,2.8,1.9,7.7,5.7,11.5,21.5,11.1,16,9.4,12.4,72065,103334,31269,High
0500000US02170,Matanuska-Susitna,Alaska,32736,4.5,2.9,7.7,6.9,9.6,18.7,14.6,18,8.7,8.4,74709,92126,17417,High
0500000US04001,Apache,Arizona,20925,22.3,6.6,13.6,12.3,12.3,14.5,6.2,9.9,1.4,0.7,30480,43748,13268,Very Low
0500000US04003,Cochise,Arizona,51982,7.8,4.5,9.9,11,18.5,15.6,10.7,14.3,4.9,2.8,48484,67592,19108,Very Low
0500000US04005,Coconino,Arizona,48993,9.3,5.5,6.7,6.8,13.8,18.2,10.9,15,8.3,5.6,58085,81219,23134,Low
0500000US04013,Maricopa,Arizona,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
0500000US04015,Mohave,Arizona,91095,4.9,4.9,12.1,11.2,16.6,22.5,12.6,9.8,2.7,2.5,50179,63437,13258,Very Low
0500000US04017,Navajo,Arizona,38732,12.8,5.1,10.8,15.9,15.8,15.7,9.9,9.8,2.8,1.5,38897,53425,14528,Very Low
0500000US04019,Pima,Arizona,410404,6.9,4.3,9.7,10,14.5,17.4,13.1,13.8,5.2,5,56169,76892,20723,Low
0500000US04021,Pinal,Arizona,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057,78763,16706,Middle
0500000US04025,Yavapai,Arizona,102784,5.5,5,10.7,9.4,15.6,21.1,11.5,12,4.2,4.8,53816,71282,17466,Very Low
0500000US04027,Yuma,Arizona,74042,10.5,5.6,11.2,10.9,14.5,18.8,14.9,9.5,2.3,1.8,46419,59182,12763,Very Low
0500000US05007,Benton,Arkansas,100749,4.4,3.4,6.9,7.7,11.2,19.4,15,16,6.2,9.7,69130,96757,27627,High
0500000US05031,Craighead,Arkansas,41409,6.2,5,14.9,13.7,13.4,14.8,9.8,14.6,3.4,4.1,45610,68763,23153,Very Low
0500000US05045,Faulkner,Arkansas,47389,8.7,3.2,10.9,9.1,12.2,20.3,15.1,13.1,3.1,4.4,57642,74775,17133,Low
0500000US05051,Garland,Arkansas,41743,8.3,8,11.5,10.1,16.7,19.7,10.3,8.3,4.6,2.6,45265,61782,16517,Very Low
0500000US05069,Jefferson,Arkansas,27593,11.4,12.3,10.8,9.3,17.5,14.9,10.5,8,2,3.2,39326,53518,14192,Very Low
0500000US05085,Lonoke,Arkansas,26052,6.9,3.6,7.6,6.9,13.8,19.1,15.2,16.2,7,3.6,62532,75963,13431,Middle
0500000US05119,Pulaski,Arkansas,158000,6.9,5.9,9.4,10.8,15,19.2,9.7,13.3,5.1,4.8,52043,77462,25419,Very Low
0500000US05125,Saline,Arkansas,45455,3.2,6,7.6,7.8,12.4,20.5,12.9,19.6,7,3.1,66327,77398,11071,High
0500000US05131,Sebastian,Arkansas,51384,6.2,5.3,12.1,14,13.7,18.9,11.5,11.7,3.2,3.4,48839,65576,16737,Very Low
0500000US05143,Washington,Arkansas,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798,72353,21555,Very Low
0500000US05145,White,Arkansas,28621,6.6,6.3,16.8,12,12.2,19.3,9.9,11.4,3.2,2.2,43399,61441,18042,Very Low
0500000US06001,Alameda,California,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322,141427,33105,Very High
0500000US06007,Butte,California,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563,91685,29122,Middle
0500000US06013,Contra Costa,California,399792,3.3,2.8,4,4.8,6.9,12.2,12.5,18.9,12.2,22.4,107135,146387,39252,Very High
0500000US06017,El Dorado,California,74216,4.4,4.6,5.7,6.1,8.8,13.6,12,20,10.4,14.3,87059,118681,31622,Very High
0500000US06019,Fresno,California,315974,7.7,5.3,9.7,10.1,11.5,17,12.4,14.4,6.4,5.4,57518,76573,19055,Low
0500000US06023,Humboldt,California,55692,7.6,11.7,7.1,8.2,14.2,15.3,11.5,12.7,5.5,6.2,51662,76880,25218,Very Low
0500000US06025,Imperial,California,48182,6.8,10.4,11.5,9,14.6,14.6,12.9,12.4,4.7,3,48472,64050,15578,Very Low
0500000US06029,Kern,California,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,75669,22602,Very Low
0500000US06031,Kings,California,44761,4.6,2.5,11.3,11.1,13.5,22.1,12.7,12,6.5,3.6,58453,72471,14018,Low
0500000US06033,Lake,California,25968,5.4,8.3,9.4,11.2,21.1,14.8,10.7,10.8,4.8,3.7,47138,67959,20821,Very Low
0500000US06037,Los Angeles,California,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
0500000US06039,Madera,California,44387,6,1.7,7.3,14.1,11.5,16.1,14.1,18.4,5.8,4.9,64827,83590,18763,Middle
0500000US06041,Marin,California,105298,3.4,2.5,4.5,4.7,8.8,10.6,11,16,10,28.6,110843,180587,69744,Very High
0500000US06045,Mendocino,California,34478,3.8,7.8,11.8,9.3,15.1,18.6,10.5,14.3,4.6,4.1,51744,71732,19988,Very Low
0500000US06047,Merced,California,80645,3.4,4.5,9.5,8.8,14.9,20,13.6,14,5.9,5.4,61167,79523,18356,Middle
0500000US06053,Monterey,California,128227,3.2,2.2,8.3,7,10.8,16,15.8,18.5,7.5,10.6,77514,102106,24592,Very High
0500000US06055,Napa,California,48107,3.4,3.2,3.7,4,10.7,14.1,14.1,17.5,11.3,17.9,92769,130499,37730,Very High
0500000US06057,Nevada,California,39365,3.5,1.6,9.6,11.1,14.7,13.5,13.6,13.5,6.8,12.2,68818,97744,28926,High
0500000US06059,Orange,California,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,31242,Very High
0500000US06061,Placer,California,147236,2.8,2.5,5.5,5.7,7.4,13.6,13.5,20.8,11.7,16.4,97723,124843,27120,Very High
0500000US06065,Riverside,California,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260,95564,22304,High
0500000US06067,Sacramento,California,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017,93318,21301,High
0500000US06071,San Bernardino,California,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,18431,High
0500000US06073,San Diego,California,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,112786,28801,Very High
0500000US06075,San Francisco,California,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859,173858,49999,Very High
0500000US06077,San Joaquin,California,230241,4.5,3.2,8,8.4,11.1,18.9,12.3,16.9,9,7.8,68997,92484,23487,High
0500000US06079,San Luis Obispo,California,106512,4.3,3.3,7.2,7.5,11.9,14.4,13.6,19,9.8,9.2,77265,99083,21818,Very High
0500000US06081,San Mateo,California,265003,2.3,1.9,4.1,3.5,6.4,10.2,8.7,16.9,12.7,33.3,138500,193572,55072,Very High
0500000US06083,Santa Barbara,California,146466,5.3,2.9,6.4,5.6,12.7,16.8,12.5,17,7.3,13.6,75653,112619,36966,Very High
0500000US06085,Santa Clara,California,643637,2.5,2.3,3.6,4.3,5.9,10.8,9.4,16.5,13.2,31.6,133076,180645,47569,Very High
0500000US06087,Santa Cruz,California,97710,3,3.4,7.2,6.4,9.8,12.1,12.2,18.2,10.4,17.3,89269,126138,36869,Very High
0500000US06089,Shasta,California,72714,4.9,5.9,11,7.1,12.4,16.1,14.5,14.6,7.9,5.4,63091,81663,18572,Middle
0500000US06095,Solano,California,150393,4.4,2.2,4.3,6.3,9.7,16,15.6,20.5,10.9,10.1,86652,105465,18813,Very High
0500000US06097,Sonoma,California,190689,2.9,2.7,4.2,6.5,9.3,16.1,15.6,18.8,10.7,13.3,87828,117426,29598,Very High
0500000US06099,Stanislaus,California,174698,4.7,3.9,7.8,9.4,13.2,18.8,13.8,16.9,6.1,5.2,63037,79840,16803,Middle
0500000US06101,Sutter,California,33039,3.5,5.2,8.2,9.8,12.4,18.6,11.7,14.2,9.5,6.9,62777,89212,26435,Middle
0500000US06103,Tehama,California,25310,9.4,4,13.1,9.3,13.3,14.4,12.1,11.4,9.8,3.3,53475,70306,16831,Very Low
0500000US06107,Tulare,California,144109,5.6,4.2,9.4,10.3,14,18.7,13.6,13.7,7.2,3.4,57692,74820,17128,Low
0500000US06111,Ventura,California,268524,3,2.1,5,5.4,9.3,13.8,15.1,20.4,11.9,14,92236,121196,28960,Very High
0500000US06113,Yolo,California,76075,7.2,5,5.7,6.6,8.7,18.9,10.4,16.7,9.4,11.3,71417,107375,35958,High
0500000US06115,Yuba,California,26827,10.4,4.1,6.5,7.9,12.7,21.1,11.4,14.6,5.9,5.5,58765,74158,15393,Low
0500000US08001,Adams,Colorado,171977,3.6,2.7,6.1,6.8,11.8,18.4,16.2,18.4,9.4,6.6,75804,91713,15909,Very High
0500000US08005,Arapahoe,Colorado,246302,3.8,1.9,4.2,5.7,11.2,19,13.5,19.3,10.2,11.2,82710,110227,27517,Very High
0500000US08013,Boulder,Colorado,131854,5.8,2.6,5.8,5,9,14.7,13.7,17,10.5,15.9,88535,125894,37359,Very High
0500000US08014,Broomfield,Colorado,28062,1.8,1,2.1,3.8,7.5,13.8,14.8,19.8,16.6,18.9,111400,144139,32739,Very High
0500000US08031,Denver,Colorado,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646,106715,31069,Very High
0500000US08035,Douglas,Colorado,127476,1.7,0.8,2.4,4.4,4.7,10.9,13.1,24.4,16.5,21.1,122867,151762,28895,Very High
0500000US08041,El Paso,Colorado,265798,4.4,2.8,6.3,7.3,11.5,19.6,14.7,17.4,8.5,7.6,72830,93351,20521,High
0500000US08059,Jefferson,Colorado,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,115741,25701,Very High
0500000US08069,Larimer,Colorado,146638,5,3.2,7.3,6,10.2,18,14.3,16.8,9.6,9.5,75186,98731,23545,Very High
0500000US08077,Mesa,Colorado,63644,5.7,4.2,7.7,8.1,15.2,21.6,12.5,15,5,4.9,60500,78226,17726,Middle
0500000US08101,Pueblo,Colorado,66111,7.8,6.3,9.9,10.5,14.9,17.5,14.1,12.5,3.8,2.6,51276,66317,15041,Very Low
0500000US08123,Weld,Colorado,111298,3.5,2.9,7,6.4,9.8,17.5,14.3,22.4,9.3,6.8,78615,95567,16952,Very High
0500000US09001,Fairfield,Connecticut,340557,4.2,3.3,6.2,4.8,8.6,13.4,10.3,15.7,10.8,22.8,97053,159703,62650,Very High
0500000US09003,Hartford,Connecticut,353234,6.5,3.7,7,7,9.9,15.7,12.9,17.7,9.4,10.3,75381,101930,26549,Very High
0500000US09005,Litchfield,Connecticut,73969,2.9,3.4,5.7,7,10.1,17.2,12.8,17.9,11.3,11.6,81195,112372,31177,Very High
0500000US09007,Middlesex,Connecticut,66884,5.5,2.8,7.8,7.5,9.6,16.2,11.1,17.5,11.1,11,76518,100657,24139,Very High
0500000US09009,New Haven,Connecticut,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751,94695,24944,High
0500000US09011,New London,Connecticut,109752,3.9,2.3,6.8,7.7,11.8,17.3,14.3,18.3,8,9.7,75633,98102,22469,Very High
0500000US09013,Tolland,Connecticut,56749,5.3,2.2,4.7,6.5,8.4,13.7,12.1,22,10.9,14.1,91028,118561,27533,Very High
0500000US09015,Windham,Connecticut,47015,6.8,3.8,8,9.5,13.5,15.1,15.3,15.3,6.8,5.9,62106,80332,18226,Middle
0500000US10001,Kent,Delaware,68023,6,6.2,7.5,7.8,15.6,19.9,12.6,15.7,6.5,2.1,58001,71690,13689,Low
0500000US10003,New Castle,Delaware,211592,5.7,2.6,6.3,6.3,9.8,18.4,13.9,17.5,9.6,9.8,76328,100948,24620,Very High
0500000US10005,Sussex,Delaware,96624,4.4,4,8.3,8.8,13.9,16.9,13.7,16.9,7.4,5.7,65155,88437,23282,High
0500000US11001,District of Columbia,District of Columbia,291570,8,3.3,4.9,4.6,8.5,12.1,11,16.2,10.6,20.7,92266,135369,43103,Very High
0500000US12001,Alachua,Florida,103024,11.1,4.3,11.3,9.6,14.3,15.3,10.4,13.6,4.1,6.1,49534,73143,23609,Very Low
0500000US12005,Bay,Florida,69195,6.6,2.8,7.1,7.8,14.4,22.6,15.7,12.4,6.2,4.2,59450,76106,16656,Low
0500000US12009,Brevard,Florida,230043,4.2,3.7,9,10.1,16.3,18.6,12.8,13.7,6.4,5.4,57305,78841,21536,Low
0500000US12011,Broward,Florida,705472,6.3,4.2,8.3,8.9,13.2,18,12.4,14.4,6.4,8,61502,88786,27284,Middle
0500000US12015,Charlotte,Florida,76589,5.2,3.7,13.2,10,14.8,17.5,12.6,13.8,4.8,4.4,54652,74773,20121,Very Low
0500000US12017,Citrus,Florida,64448,8.1,5,11.8,11.8,12.4,20.8,12,10.3,4.2,3.4,50751,65270,14519,Very Low
0500000US12019,Clay,Florida,75793,3.2,1.7,6.3,6,11.8,19.1,17,19.6,9.4,5.9,76687,93365,16678,Very High
0500000US12021,Collier,Florida,140578,4.8,3.8,5.8,8.7,10.6,15.5,13,17.3,7.4,13.1,76025,121643,45618,Very High
0500000US12023,Columbia,Florida,25240,7.1,4.7,15,10.5,15.4,18.4,9.2,12.3,4.8,2.6,47094,62768,15674,Very Low
0500000US12031,Duval,Florida,368668,6.8,3.8,8.8,9.5,13.8,19.4,13.1,13.7,5.7,5.5,58415,79366,20951,Low
0500000US12033,Escambia,Florida,120618,6.5,4.5,10.7,10.1,15,18.9,11.9,13.9,4.2,4.2,53136,73632,20496,Very Low
0500000US12035,Flagler,Florida,44464,3.7,2.9,11.6,10,14.3,19,11.8,15.2,6.8,4.8,60204,79514,19310,Middle
0500000US12053,Hernando,Florida,78755,6,5.6,11.2,9.9,16.1,20.2,12.2,13.1,3.7,2.1,51031,62821,11790,Very Low
0500000US12055,Highlands,Florida,43351,7.2,6,11.3,8.2,18.2,22.2,11.2,10.1,3.3,2.4,48698,65399,16701,Very Low
0500000US12057,Hillsborough,Florida,541584,7,3.4,7.9,9.3,12.9,19.3,12.2,14.7,5.5,7.7,61154,84812,23658,Middle
0500000US12061,Indian River,Florida,63917,5.6,3,11,9.7,13.8,17.7,13.3,13.8,5.7,6.3,59782,87627,27845,Low
0500000US12069,Lake,Florida,139192,4,3.5,8.1,12.8,14,20.2,13.7,14.1,5.9,3.7,57588,75726,18138,Low
0500000US12071,Lee,Florida,286887,4.6,3.3,8.3,8.8,13.2,20.3,14.4,14.4,5.4,7.3,62240,88514,26274,Middle
0500000US12073,Leon,Florida,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929,75969,21040,Very Low
0500000US12081,Manatee,Florida,145171,3.9,2.6,9.3,8.9,13.7,17.9,13.4,16.4,5.8,8.1,64499,92213,27714,Middle
0500000US12083,Marion,Florida,145622,6.6,3.8,13.4,9.4,17,21,12.8,9.9,3,3,49576,64731,15155,Very Low
0500000US12085,Martin,Florida,65014,4.3,3.5,7.4,9.1,11.7,15.7,14.7,16.1,7.5,10,70842,110379,39537,High
0500000US12086,Miami-Dade,Florida,912805,8,5.3,9.8,10.3,12.2,18,11.5,12.8,5.3,6.8,55171,82803,27632,Low
0500000US12087,Monroe,Florida,32839,4.7,3.8,6.6,8.3,10.3,18.9,11.3,18.5,7.5,10.2,68589,106365,37776,High
0500000US12089,Nassau,Florida,35212,4.4,3.2,4.4,10.4,11.1,19.6,15.1,18.1,7.6,6.2,70939,87206,16267,High
0500000US12091,Okaloosa,Florida,76097,3.7,2.8,6.6,9.7,14.8,18.6,14.9,16.2,5.5,7.2,64222,85766,21544,Middle
0500000US12095,Orange,Florida,457949,4.9,3.5,7.6,9,13.9,19.7,13.6,14.7,5.8,7.2,63461,88304,24843,Middle
0500000US12097,Osceola,Florida,111539,5.3,3.8,10.8,9,18.9,21.9,12.3,10.7,4.3,3,51760,68266,16506,Very Low
0500000US12099,Palm Beach,Florida,568915,5.2,4.1,8.1,8.4,12.4,16.3,12.2,15.6,6.7,11,66623,101876,35253,High
0500000US12101,Pasco,Florida,212856,5.7,4.3,10.2,9.8,15.4,17.8,12.6,14.2,5.2,4.7,55828,73875,18047,Low
0500000US12103,Pinellas,Florida,395286,6.1,4.1,8.9,9.6,14.5,17.7,13.7,13.4,5.3,6.7,56737,83277,26540,Low
0500000US12105,Polk,Florida,238629,6.1,4.5,11.4,11.2,14.4,20.5,13.5,11.5,3.6,3.3,51833,67906,16073,Very Low
0500000US12107,Putnam,Florida,30866,8.2,4.6,12.4,14.7,16.7,23.5,7.5,8.5,3.1,0.9,42899,54394,11495,Very Low
0500000US12109,St. Johns,Florida,94761,2.7,1.5,6,5.9,9.8,15.2,12.8,21.3,8.2,16.4,90356,122115,31759,Very High
0500000US12111,St. Lucie,Florida,116900,4.1,5.5,8.8,11.5,12.6,20.4,13.9,14.6,5.6,2.8,58039,72610,14571,Low
0500000US12113,Santa Rosa,Florida,66187,4.8,3.5,9.4,10.1,10.8,17.7,15.9,16,5,6.8,64930,83717,18787,Middle
0500000US12115,Sarasota,Florida,187411,3.3,3,8.2,7.8,13.5,19.9,14.6,16.1,5.6,8,66342,94576,28234,High
0500000US12117,Seminole,Florida,181142,4.2,2.4,7.1,7.8,13.1,18.7,14.3,15.1,8,9.3,70190,95285,25095,High
0500000US12119,Sumter,Florida,59458,4.6,3.9,7.9,11,11.9,22.5,14.6,12,6.5,5.1,60287,83298,23011,Middle
0500000US12127,Volusia,Florida,219451,5.6,5,9.9,12.1,14.2,19.8,13.4,12.1,3.9,4,53766,70972,17206,Very Low
0500000US12131,Walton,Florida,26475,5.4,4,7.7,7.1,18.8,15.4,16.6,13.1,5.6,6.4,60457,79647,19190,Middle
0500000US13013,Barrow,Georgia,27765,5.9,3.3,5.5,7.9,10.4,23.3,16.5,18.9,6.2,2.2,69890,77081,7191,High
0500000US13015,Bartow,Georgia,39742,9.2,7.1,5.9,8.6,11.3,22.8,12.7,14.8,4.4,3.3,59911,70644,10733,Low
0500000US13021,Bibb,Georgia,56726,10.9,6.3,10.6,13.4,14.4,14.5,10.9,10.8,4.2,4,42140,67678,25538,Very Low
0500000US13031,Bulloch,Georgia,28660,5.9,6.4,11.7,10.7,14.6,25.8,12.3,7.3,2,3.3,50436,61191,10755,Very Low
0500000US13045,Carroll,Georgia,42798,7,3.1,9.4,7.8,14.5,20.8,16.4,14.2,4.3,2.5,61133,69895,8762,Middle
0500000US13047,Catoosa,Georgia,24130,5.1,5.6,5.5,10.3,13.4,23.9,15.2,14,3.4,3.5,61487,71692,10205,Middle
0500000US13051,Chatham,Georgia,107987,6.6,5.2,11,9,11.7,19.3,12.6,14.4,4.2,6.1,57611,80418,22807,Low
0500000US13057,Cherokee,Georgia,93441,3.3,2.6,6.7,6.5,5.9,18.9,14,21.8,11,9.2,86404,101950,15546,Very High
0500000US13059,Clarke,Georgia,52124,11.2,8.2,14.8,11.1,12.9,16,8.6,8.9,3.8,4.6,39799,64933,25134,Very Low
0500000US13063,Clayton,Georgia,97030,6.6,4.3,11,9,17.2,25.2,10.5,11.5,3.6,1.2,51093,60225,9132,Very Low
0500000US13067,Cobb,Georgia,286952,3.7,2.3,4.6,7.5,11.6,17.4,14.2,17,10,11.7,79601,108459,28858,Very High
0500000US13073,Columbia,Georgia,46890,1.7,0.9,4.8,7.8,6.2,18.1,17,23.6,8.9,10.9,88761,111034,22273,Very High
